Folder Name,Assert Count
test\CodeGen,32838
test\Transforms,16138
test\Analysis,1373
test\Instrumentation,244
test\Other,226
test\Assembler,117
test\ExecutionEngine,103
test\Verifier,102
test\Feature,83
test\ThinLTO,36
test\SafepointIRVerifier,34
test\Bitcode,30
test\Linker,28
test\DebugInfo,25
test\Integer,14
test\BugPoint,9
test\MC,9
test\LTO,8
test\tools,8
test\Bindings,2
test\Object,1
test\Demangle,0
test\Examples,0
test\FileCheck,0
test\JitListener,0
test\MachineVerifier,0
test\ObjectYAML,0
test\Reduce,0
test\Support,0
test\SymbolRewriter,0
test\TableGen,0
test\Unit,0
test\YAMLParser,0
