File Name,Assert Count
test\lit.cfg.py,0
test\Analysis\alias-analysis-uses.ll,1
test\Analysis\AliasSet\argmemonly.ll,11
test\Analysis\AliasSet\guards.ll,108
test\Analysis\AliasSet\intrinsics.ll,4
test\Analysis\AliasSet\memset.ll,4
test\Analysis\AliasSet\memtransfer.ll,14
test\Analysis\AliasSet\saturation.ll,0
test\Analysis\AliasSet\unknown-inst-tracking.ll,0
test\Analysis\AssumptionCache\basic.ll,1
test\Analysis\BasicAA\128-bit-ptr.ll,3
test\Analysis\BasicAA\2003-02-26-AccessSizeTest.ll,1
test\Analysis\BasicAA\2003-03-04-GEPCrash.ll,1
test\Analysis\BasicAA\2003-04-22-GEPProblem.ll,1
test\Analysis\BasicAA\2003-04-25-GEPCrash.ll,1
test\Analysis\BasicAA\2003-05-21-GEP-Problem.ll,0
test\Analysis\BasicAA\2003-06-01-AliasCrash.ll,0
test\Analysis\BasicAA\2003-07-03-BasicAACrash.ll,0
test\Analysis\BasicAA\2003-09-19-LocalArgument.ll,2
test\Analysis\BasicAA\2003-11-04-SimpleCases.ll,1
test\Analysis\BasicAA\2003-12-11-ConstExprGEP.ll,1
test\Analysis\BasicAA\2004-07-28-MustAliasbug.ll,1
test\Analysis\BasicAA\2006-03-03-BadArraySubscript.ll,1
test\Analysis\BasicAA\2006-11-03-BasicAAVectorCrash.ll,0
test\Analysis\BasicAA\2007-01-13-BasePointerBadNoAlias.ll,2
test\Analysis\BasicAA\2007-08-01-NoAliasAndCalls.ll,0
test\Analysis\BasicAA\2007-08-01-NoAliasAndGEP.ll,0
test\Analysis\BasicAA\2007-08-05-GetOverloadedModRef.ll,1
test\Analysis\BasicAA\2007-10-24-ArgumentsGlobals.ll,0
test\Analysis\BasicAA\2007-11-05-SizeCrash.ll,0
test\Analysis\BasicAA\2007-12-08-OutOfBoundsCrash.ll,0
test\Analysis\BasicAA\2008-04-15-Byval.ll,0
test\Analysis\BasicAA\2008-06-02-GEPTailCrash.ll,1
test\Analysis\BasicAA\2008-11-23-NoaliasRet.ll,0
test\Analysis\BasicAA\2009-03-04-GEPNoalias.ll,1
test\Analysis\BasicAA\2009-10-13-AtomicModRef.ll,0
test\Analysis\BasicAA\2009-10-13-GEP-BaseNoAlias.ll,0
test\Analysis\BasicAA\2010-09-15-GEP-SignedArithmetic.ll,1
test\Analysis\BasicAA\2014-03-18-Maxlookup-reached.ll,0
test\Analysis\BasicAA\aligned-overread.ll,0
test\Analysis\BasicAA\args-rets-allocas-loads.ll,0
test\Analysis\BasicAA\assume.ll,1
test\Analysis\BasicAA\bug.23540.ll,0
test\Analysis\BasicAA\bug.23626.ll,0
test\Analysis\BasicAA\byval.ll,0
test\Analysis\BasicAA\call-attrs.ll,1
test\Analysis\BasicAA\cas.ll,0
test\Analysis\BasicAA\constant-over-index.ll,0
test\Analysis\BasicAA\cs-cs-arm.ll,1
test\Analysis\BasicAA\cs-cs.ll,19
test\Analysis\BasicAA\dag.ll,0
test\Analysis\BasicAA\dereferenceable.ll,0
test\Analysis\BasicAA\empty.ll,0
test\Analysis\BasicAA\fallback-mayalias.ll,0
test\Analysis\BasicAA\featuretest.ll,0
test\Analysis\BasicAA\full-store-partial-alias.ll,0
test\Analysis\BasicAA\gcsetest.ll,6
test\Analysis\BasicAA\gep-alias.ll,30
test\Analysis\BasicAA\gep-and-alias-64.ll,0
test\Analysis\BasicAA\gep-and-alias.ll,0
test\Analysis\BasicAA\getmodrefinfo-cs-cs.ll,2
test\Analysis\BasicAA\global-size.ll,6
test\Analysis\BasicAA\guards.ll,2
test\Analysis\BasicAA\intrinsics-arm.ll,2
test\Analysis\BasicAA\intrinsics.ll,2
test\Analysis\BasicAA\invalidation.ll,0
test\Analysis\BasicAA\invariant_group.ll,1
test\Analysis\BasicAA\invariant_load.ll,0
test\Analysis\BasicAA\memset_pattern.ll,2
test\Analysis\BasicAA\modref.ll,35
test\Analysis\BasicAA\must-and-partial.ll,2
test\Analysis\BasicAA\negoffset.ll,0
test\Analysis\BasicAA\no-escape-call.ll,0
test\Analysis\BasicAA\noalias-bugs.ll,1
test\Analysis\BasicAA\noalias-geps.ll,2
test\Analysis\BasicAA\noalias-param.ll,0
test\Analysis\BasicAA\noalias-wraparound-bug.ll,0
test\Analysis\BasicAA\nocapture.ll,7
test\Analysis\BasicAA\phi-aa.ll,0
test\Analysis\BasicAA\phi-and-select.ll,0
test\Analysis\BasicAA\phi-loop.ll,1
test\Analysis\BasicAA\phi-spec-order.ll,0
test\Analysis\BasicAA\phi-speculation.ll,3
test\Analysis\BasicAA\phi-values-usage.ll,0
test\Analysis\BasicAA\pr18573.ll,0
test\Analysis\BasicAA\pr31761.ll,0
test\Analysis\BasicAA\pr35821.ll,0
test\Analysis\BasicAA\pr35843.ll,0
test\Analysis\BasicAA\ptrmask.ll,2
test\Analysis\BasicAA\pure-const-dce.ll,20
test\Analysis\BasicAA\q.bad.ll,6
test\Analysis\BasicAA\returned.ll,1
test\Analysis\BasicAA\sequential-gep.ll,0
test\Analysis\BasicAA\store-promote.ll,4
test\Analysis\BasicAA\struct-geps.ll,7
test\Analysis\BasicAA\tail-byval.ll,0
test\Analysis\BasicAA\tailcall-modref.ll,1
test\Analysis\BasicAA\underlying-value.ll,0
test\Analysis\BasicAA\unreachable-block.ll,0
test\Analysis\BasicAA\zext.ll,12
