Author,Number of Commits
Roman Lebedev,676
Amara Emerson,113
Ayke van Laethem,1
Anton Afanasyev,8
Sanjay Patel,289
Nikita Popov,36
David Bolvansky,229
Nico Weber,156
Craig Topper,1171
Kai Luo,17
Vivek Pandya,1
QingShan Zhang,17
Nikola Prica,21
David Green,419
George Rimar,426
Cameron McInally,95
Simon Tatham,106
Jeremy Morse,60
Whitney Tsang,19
Piotr Sobczak,69
Francis Visoiu Mistrih,89
Andrea Di Biagio,89
Wolfgang Pieb,3
Jordan Rupprecht,135
Jinsong Ji,189
Philip Reames,142
Jessica Paquette,114
Tom Stellard,26
Rong Xu,16
Shoaib Meenai,37
Matt Arsenault,1312
Peter Collingbourne,73
Sander de Smalen,253
Simon Pilgrim,477
James Henderson,58
Orlando Cazalet-Hyams,33
Mikhail Maltsev,18
Lewis Revill,11
Ilya Biryukov,17
Jonas Devlieghere,79
Alina Sbirlea,93
Hsiangkai Wang,13
Alex Bradbury,26
Sjoerd Meijer,23
Dylan McKay,3
Ben Dunbobbin,3
Sam Parker,224
Simon Atanasyan,199
Stanislav Mekhanoshin,189
Dinar Temirbulatov,1
David L. Jones,12
Shawn Landden,89
Owen Reynolds,79
Eugene Leviant,90
Chris Jackson,18
Dmitry Preobrazhensky,56
Diogo N. Sampaio,22
Joseph Tremoulet,6
Lang Hames,37
Vedant Kumar,25
Amy Huang,635
Seiya Nuta,62
Douglas Yung,8
Tim Shen,5
David Blaikie,61
Alex Brachet,44
Michal Gorny,3
Rui Ueyama,8
Kevin P. Neal,84
Valery Pykhtin,2
Aditya Nandakumar,17
Florian Hahn,68
Akira Hatanaka,15
Guozhi Wei,185
Michael Berg,22
Mitch Phillips,239
Huihui Zhang,32
Fangrui Song,337
Kang Zhang,19
Nicolai Haehnle,44
Justin Hibbits,2
Yevgeny Rouban,7
Hans Wennborg,106
Luis Marques,230
Bjorn Pettersson,40
Warren Ristow,2
Daniel Sanders,54
Volkan Keles,45
Graham Hunter,16
Jonas Paulsson,11
Michael Liao,21
Adrian Prantl,7
Sam Elliott,91
Michael Trent,1
Evandro Menezes,20
Thomas Lively,70
Clement Courbet,131
Jay Foad,46
Ulrich Weigand,76
Hubert Tong,10
Yuanfang Chen,17
Thomas Preud'homme,61
Eli Friedman,29
Petar Avramovic,122
Leonard Chan,126
Rainer Orth,3
Vitaly Buka,41
Paul Robinson,8
Julian Lettner,14
Reid Kleckner,147
Tom Tan,1
Don Hinton,4
Pavel Labath,33
Tim Renouf,9
Roland Froese,5
Nemanja Ivanovic,31
Diego Novillo,1
Erich Keane,1
Saleem Abdulrasool,6
Djordje Todorovic,50
Fedor Sergeev,5
Greg Clayton,11
Ryan Taylor,8
JF Bastien,21
Vasileios Porpodas,2
Diana Picus,11
Stefan Stipanovic,20
Tim Northover,100
Johannes Doerfert,217
Wouter van Oortmerssen,17
Heejin Ahn,26
Mikael Holmen,4
Max Moroz,1
Sam Tebbs,17
Sam Clegg,5
Brad Smith,1
Dmitry Venikov,2
Benjamin Kramer,12
Krzysztof Parzyszek,15
Robert Lougher,10
Zi Xuan Wu,27
Alexander Timofeev,54
Teresa Johnson,32
Alex Lorenz,18
Nilanjana Basu,169
Guanzhong Chen,9
Chen Zheng,22
Alexander Potapenko,1
Oliver Stannard,34
James Molloy,72
Amaury Sechet,159
Joel E. Denny,158
Konstantin Pyzhov,2
Evgeniy Stepanov,22
Derek Schuff,3
Andus Yu,1
Yaxun Liu,4
Quentin Colombet,7
David Majnemer,1
Martin Storsjo,51
Petr Hosek,52
Brian Homerding,13
Denis Bakhvalov,2
Yonghong Song,125
