filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent
cmake-build-debug-coverage/CMakeFiles/3.21.1/CompilerIdC/CMakeCCompilerId.c,8,0,0.0,0,0,,1,0,0.0
cmake-build-debug-coverage/CMakeFiles/3.21.1/CompilerIdCXX/CMakeCXXCompilerId.cpp,7,0,0.0,0,0,,1,0,0.0
cmake-build-debug-coverage/include/llvm/IR/Attributes.inc,119,0,0.0,100,0,0.0,22,0,0.0
cmake-build-debug-coverage/include/llvm/IR/IntrinsicImpl.inc,2390,0,0.0,412,0,0.0,7,0,0.0
include/llvm/ADT/APFixedPoint.h,47,31,0.66,22,16,0.727,24,16,0.667
include/llvm/ADT/APFloat.h,350,310,0.8859999999999999,296,195,0.659,116,110,0.948
include/llvm/ADT/APInt.h,584,529,0.9059999999999999,252,186,0.738,178,157,0.882
include/llvm/ADT/APSInt.h,97,72,0.742,60,44,0.733,38,29,0.763
include/llvm/ADT/AllocatorList.h,67,66,0.985,4,3,0.75,122,98,0.8029999999999999
include/llvm/ADT/Any.h,29,28,0.966,4,3,0.75,70,35,0.5
include/llvm/ADT/ArrayRef.h,164,120,0.732,40,16,0.4,1694,188,0.111
include/llvm/ADT/BitVector.h,394,388,0.985,189,151,0.799,93,93,1.0
include/llvm/ADT/Bitfields.h,37,37,1.0,14,9,0.643,183,85,0.46399999999999997
include/llvm/ADT/BitmaskEnum.h,26,26,1.0,4,2,0.5,65,21,0.32299999999999995
include/llvm/ADT/BreadthFirstIterator.h,44,37,0.841,12,10,0.833,21,9,0.429
include/llvm/ADT/CachedHashString.h,74,20,0.27,36,6,0.16699999999999998,28,9,0.321
include/llvm/ADT/CoalescingBitVector.h,196,192,0.98,112,99,0.884,58,55,0.948
include/llvm/ADT/CombinationGenerator.h,47,46,0.9790000000000001,24,19,0.792,10,10,1.0
include/llvm/ADT/DAGDeltaAlgorithm.h,3,3,1.0,0,0,,2,2,1.0
include/llvm/ADT/DeltaAlgorithm.h,3,3,1.0,0,0,,3,3,1.0
include/llvm/ADT/DenseMap.h,650,575,0.885,438,231,0.527,26508,4056,0.153
include/llvm/ADT/DenseMapInfo.h,56,47,0.8390000000000001,4,3,0.75,582,72,0.124
include/llvm/ADT/DenseSet.h,76,70,0.9209999999999999,9,7,0.778,1248,353,0.28300000000000003
include/llvm/ADT/DepthFirstIterator.h,58,32,0.552,11,8,0.727,177,9,0.051
include/llvm/ADT/DirectedGraph.h,119,77,0.647,28,23,0.821,92,30,0.326
include/llvm/ADT/EnumeratedArray.h,10,10,1.0,6,5,0.833,6,3,0.5
include/llvm/ADT/EpochTracker.h,8,8,1.0,0,0,,7,7,1.0
include/llvm/ADT/EquivalenceClasses.h,86,59,0.6859999999999999,37,21,0.568,139,42,0.302
include/llvm/ADT/FloatingPointMode.h,54,51,0.9440000000000001,14,12,0.857,14,13,0.929
include/llvm/ADT/FoldingSet.h,95,72,0.758,14,1,0.071,358,100,0.27899999999999997
include/llvm/ADT/FunctionExtras.h,87,87,1.0,20,20,1.0,444,263,0.5920000000000001
include/llvm/ADT/GenericCycleImpl.h,177,0,0.0,218,0,0.0,19,0,0.0
include/llvm/ADT/GenericCycleInfo.h,74,0,0.0,8,0,0.0,44,0,0.0
include/llvm/ADT/GraphTraits.h,9,3,0.33299999999999996,0,0,,8,0,0.0
include/llvm/ADT/Hashing.h,215,214,0.995,64,55,0.8590000000000001,450,254,0.564
include/llvm/ADT/ImmutableList.h,64,64,1.0,14,11,0.7859999999999999,111,109,0.982
include/llvm/ADT/ImmutableMap.h,66,59,0.894,34,17,0.5,44,35,0.795
include/llvm/ADT/ImmutableSet.h,353,300,0.85,202,130,0.644,262,197,0.752
include/llvm/ADT/IndexedMap.h,10,0,0.0,4,0,0.0,8,0,0.0
include/llvm/ADT/IntEqClasses.h,5,5,1.0,2,1,0.5,3,3,1.0
include/llvm/ADT/IntervalMap.h,768,749,0.975,502,408,0.813,611,326,0.534
include/llvm/ADT/IntrusiveRefCntPtr.h,61,61,1.0,20,14,0.7,113,109,0.965
include/llvm/ADT/MapVector.h,97,78,0.804,35,25,0.7140000000000001,198,80,0.40399999999999997
include/llvm/ADT/Optional.h,195,188,0.9640000000000001,74,59,0.797,3191,492,0.154
include/llvm/ADT/PackedVector.h,43,43,1.0,14,12,0.857,31,31,1.0
include/llvm/ADT/PointerEmbeddedInt.h,13,13,1.0,2,1,0.5,25,19,0.76
include/llvm/ADT/PointerIntPair.h,65,50,0.769,6,3,0.5,895,477,0.5329999999999999
include/llvm/ADT/PointerSumType.h,27,27,1.0,6,4,0.667,42,21,0.5
include/llvm/ADT/PointerUnion.h,45,42,0.9329999999999999,8,5,0.625,622,327,0.526
include/llvm/ADT/PostOrderIterator.h,61,50,0.82,9,6,0.667,125,30,0.24
include/llvm/ADT/PriorityWorklist.h,85,84,0.988,54,43,0.7959999999999999,53,39,0.736
include/llvm/ADT/SCCIterator.h,80,58,0.725,49,25,0.51,107,26,0.243
include/llvm/ADT/STLArrayExtras.h,2,2,1.0,0,0,,10,2,0.2
include/llvm/ADT/STLExtras.h,422,366,0.867,99,69,0.6970000000000001,3535,686,0.19399999999999998
include/llvm/ADT/STLFunctionalExtras.h,10,10,1.0,0,0,,457,64,0.14
include/llvm/ADT/ScopeExit.h,12,12,1.0,2,2,1.0,22,6,0.273
include/llvm/ADT/Sequence.h,86,80,0.93,16,9,0.562,214,168,0.785
include/llvm/ADT/SetOperations.h,19,0,0.0,14,0,0.0,5,0,0.0
include/llvm/ADT/SetVector.h,83,37,0.446,28,5,0.179,264,16,0.061
include/llvm/ADT/SmallBitVector.h,394,382,0.97,292,254,0.87,79,77,0.975
include/llvm/ADT/SmallPtrSet.h,177,156,0.8809999999999999,93,62,0.667,634,129,0.203
include/llvm/ADT/SmallSet.h,94,84,0.894,53,45,0.8490000000000001,194,88,0.45399999999999996
include/llvm/ADT/SmallString.h,76,68,0.895,6,5,0.833,130,56,0.431
include/llvm/ADT/SmallVector.h,504,490,0.972,160,128,0.8,12363,1863,0.151
include/llvm/ADT/SparseBitVector.h,393,238,0.606,236,124,0.525,48,32,0.667
include/llvm/ADT/SparseMultiSet.h,160,156,0.975,72,50,0.6940000000000001,86,83,0.965
include/llvm/ADT/SparseSet.h,64,63,0.9840000000000001,24,17,0.708,32,32,1.0
include/llvm/ADT/Statistic.h,27,16,0.593,10,2,0.2,11,7,0.636
include/llvm/ADT/StringExtras.h,199,188,0.945,104,85,0.8170000000000001,105,91,0.867
include/llvm/ADT/StringMap.h,192,184,0.958,80,69,0.862,1147,250,0.218
include/llvm/ADT/StringMapEntry.h,35,35,1.0,4,3,0.75,364,65,0.179
include/llvm/ADT/StringRef.h,234,231,0.987,116,106,0.914,127,102,0.8029999999999999
include/llvm/ADT/StringSet.h,9,6,0.667,2,0,0.0,5,4,0.8
include/llvm/ADT/StringSwitch.h,50,47,0.94,40,38,0.95,176,55,0.312
include/llvm/ADT/TinyPtrVector.h,161,143,0.888,112,78,0.696,101,64,0.634
include/llvm/ADT/Triple.h,156,70,0.449,164,41,0.25,70,35,0.5
include/llvm/ADT/Twine.h,154,139,0.903,87,63,0.7240000000000001,36,32,0.889
include/llvm/ADT/TypeSwitch.h,33,33,1.0,14,14,1.0,113,113,1.0
include/llvm/ADT/UniqueVector.h,18,8,0.444,6,1,0.16699999999999998,20,3,0.15
include/llvm/ADT/bit.h,3,3,1.0,0,0,,2,1,0.5
include/llvm/ADT/edit_distance.h,29,29,1.0,18,17,0.9440000000000001,1,1,1.0
include/llvm/ADT/fallible_iterator.h,53,52,0.981,22,16,0.727,47,34,0.723
include/llvm/ADT/identity.h,4,2,0.5,0,0,,3,2,0.667
include/llvm/ADT/ilist.h,77,67,0.87,26,18,0.6920000000000001,189,94,0.49700000000000005
include/llvm/ADT/ilist_base.h,45,45,1.0,6,4,0.667,61,35,0.574
include/llvm/ADT/ilist_iterator.h,40,30,0.75,6,3,0.5,393,192,0.489
include/llvm/ADT/ilist_node.h,61,42,0.6890000000000001,8,3,0.375,396,215,0.5429999999999999
include/llvm/ADT/ilist_node_base.h,13,13,1.0,0,0,,13,13,1.0
include/llvm/ADT/iterator.h,68,64,0.941,4,4,1.0,983,271,0.276
include/llvm/ADT/iterator_range.h,12,7,0.583,0,0,,1020,232,0.22699999999999998
include/llvm/ADT/simple_ilist.h,99,99,1.0,18,16,0.889,305,197,0.6459999999999999
include/llvm/Analysis/AliasAnalysis.h,167,0,0.0,22,0,0.0,222,0,0.0
include/llvm/Analysis/AliasAnalysisEvaluator.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/Analysis/AliasSetTracker.h,100,0,0.0,44,0,0.0,40,0,0.0
include/llvm/Analysis/AssumeBundleQueries.h,13,0,0.0,8,0,0.0,7,0,0.0
include/llvm/Analysis/AssumptionCache.h,29,0,0.0,6,0,0.0,11,0,0.0
include/llvm/Analysis/BasicAliasAnalysis.h,3,0,0.0,0,0,,2,0,0.0
include/llvm/Analysis/BlockFrequencyInfo.h,3,0,0.0,0,0,,4,0,0.0
include/llvm/Analysis/BlockFrequencyInfoImpl.h,627,0,0.0,451,0,0.0,106,0,0.0
include/llvm/Analysis/BranchProbabilityInfo.h,25,0,0.0,10,0,0.0,14,0,0.0
include/llvm/Analysis/CFG.h,15,0,0.0,12,0,0.0,4,0,0.0
include/llvm/Analysis/CFGPrinter.h,132,0,0.0,52,0,0.0,24,0,0.0
include/llvm/Analysis/CFLAliasAnalysisUtils.h,18,0,0.0,10,0,0.0,9,0,0.0
include/llvm/Analysis/CFLAndersAliasAnalysis.h,2,0,0.0,0,0,,2,0,0.0
include/llvm/Analysis/CFLSteensAliasAnalysis.h,11,0,0.0,10,0,0.0,3,0,0.0
include/llvm/Analysis/CGSCCPassManager.h,8,0,0.0,2,0,0.0,5,0,0.0
include/llvm/Analysis/CallGraph.h,54,0,0.0,16,0,0.0,35,0,0.0
include/llvm/Analysis/CallGraphSCCPass.h,20,0,0.0,0,0,,13,0,0.0
include/llvm/Analysis/CaptureTracking.h,1,0,0.0,0,0,,1,0,0.0
include/llvm/Analysis/ConstraintSystem.h,15,0,0.0,10,0,0.0,3,0,0.0
